GeneID	Annotation	wt	mutant#1	mutant#2	mutant#3
Zt100000	glutaminase | Zt100000	1.37	0.85	0.96	32.65
Zt100022	lanthionine synthetase C | Zt100022	52.63	41.17	63.57	70.64
Zt100024	splicing factor u2af large subunit like | Zt100024	100.36	90.98	93.41	86.38
Zt100032	amidohydrolase 2 | Zt100032	16.2	13.62	25.45	26.09
Zt100038	short-chain dehydrogenase reductase sdr | Zt100038	81.69	91.62	170.05	60.68
Zt100052	alcohol dehydrogenase | Zt100052	22.76	55.44	23.42	34.73
Zt100057	P-loop containing nucleoside triphosphate hydrolase | Zt100057	20.87	29.89	22.17	26.73
Zt100058	SH3 domain-containing | Zt100058	20.37	17.37	63.1	30.58
Zt10006	anucleate primary sterigmata b | Zt10006	12.78	13.41	17.15	15.78
Zt100061	proliferating cell nuclear antigen | Zt100061	59.6	49.45	108.89	40.35
Zt100062	major facilitator superfamily transporter | Zt100062	28.83	31.45	22.93	33.65
Zt100063	calreticulin precursor | Zt100063	176.03	179.53	187.05	154.7
Zt100065	uroporphyrinogen decarboxylase | Zt100065	128.4	89.55	106.74	88.66
Zt100069	Nop14 partial [Aureobasidium namibiae CBS ] | Zt100069	17.4	17.12	12.85	19.05
Zt100072	activator 1 41 kDa subunit | Zt100072	22.96	19.74	37.96	12.13
Zt100073	cystathionine beta-synthase | Zt100073	25.58	22.18	17.52	24.08
Zt100074	Zinc iron permease | Zt100074	58.55	59.03	45.14	71.97
Zt100080	glutathione-dependent formaldehyde-activating | Zt100080	228.52	245.81	202.07	247.09
Zt100083	WH1-domain-containing | Zt100083	25.48	22.72	58.71	28.88
Zt100089	polyketide synthase | Zt100089	103.15	9.07	31.33	36.25
Zt100094	ZIP Zinc | Zt100094	17.38	15.62	19.07	17.82
Zt100095	amidophosphoribosyltransferase | Zt100095	62.34	56.83	42.28	66.43
Zt100108	unknown | Zt100108	42.11	31.03	55.66	56.97
Zt100120	cytochrome c | Zt100120	128.29	121.65	98.18	148.34
Zt100123	cyclin-dependent kinase | Zt100123	76.49	72.55	64.56	59.13
Zt100129	phosphoenolpyruvate carboxykinase | Zt100129	254.24	200.75	104.98	209.43
Zt100157	WD40 repeat | Zt100157	48.35	40.08	32.65	31.11
