GeneID	locus	sample_1	sample_2	status	value_1	value_2	log2FC	test_stat	p_value	q_value	significant
Zt32076	chromosome_1:4684188-4690413	ipo323	myco56	OK	19.9367	25.9706	0.381451	0.590544	0.56305	0.99889	no
Zt31557	chromosome_1:1297151-1298456	ipo323	myco56	OK	14.7461	13.2473	-0.15464	-0.244112	0.83595	0.99889	no
Zt34777	chromosome_1:1553622-1554862	ipo323	myco56	OK	46.3776	38.4453	-0.270621	-0.485136	0.6841	0.99889	no
Zt31949	chromosome_1:3912146-3913682	ipo323	myco56	OK	42.4504	87.3868	1.04164	1.91529	0.11515	0.99889	no
Zt32463	chromosome_1:4332772-4333795	ipo323	myco56	OK	9.13843	8.90034	-0.0380858	-0.0576843	0.96395	0.99889	no
Zt33485	chromosome_1:4997551-4998794	ipo323	myco56	OK	79.9254	76.6217	-0.0609015	-0.114295	0.92495	0.99889	no
Zt32157	chromosome_1:4749131-4749755	ipo323	myco56	OK	3.614	16.0191	2.14812	3.2539	0.0488	0.735219	no
Zt32500	chromosome_1:4428008-4429227	ipo323	myco56	OK	187.52	145.571	-0.365323	-0.648755	0.59085	0.99889	no
Zt33174	chromosome_1:3528039-3529071	ipo323	myco56	OK	80.6864	84.2171	0.0617882	0.118334	0.92275	0.99889	no
Zt33116	chromosome_1:3046040-3047120	ipo323	myco56	OK	47.8975	66.2391	0.467731	0.874692	0.4773	0.99889	no
Zt34023	chromosome_1:1441000-1442107	ipo323	myco56	OK	59.7326	53.4693	-0.159809	-0.29648	0.80675	0.99889	no
Zt33464	chromosome_1:1240708-1241926	ipo323	myco56	OK	66.4228	85.3287	0.361353	0.678615	0.5797	0.99889	no
Zt34254	chromosome_1:3425286-3428472	ipo323	myco56	OK	44.8289	47.8388	0.0937535	0.150159	0.8874	0.99889	no
Zt33587	chromosome_1:4107388-4109230	ipo323	myco56	OK	33.1918	50.6914	0.610914	1.10724	0.3707	0.99889	no
Zt31899	chromosome_1:5399173-5400277	ipo323	myco56	OK	84.8893	63.4291	-0.420438	-0.790014	0.52145	0.99889	no
Zt34232	chromosome_1:5161733-5162622	ipo323	myco56	OK	2.40523	7.60076	1.65997	2.20234	0.12065	0.99889	no
Zt33192	chromosome_1:1522596-1523724	ipo323	myco56	OK	81.4928	80.096	-0.0249425	-0.0468808	0.9678	0.99889	no
Zt31719	chromosome_1:1418508-1421232	ipo323	myco56	OK	25.3951	29.6186	0.221955	0.370347	0.72945	0.99889	no
Zt33694	chromosome_1:1539394-1540521	ipo323	myco56	OK	29.4651	26.9982	-0.126144	-0.219392	0.8586	0.99889	no
Zt33888	chromosome_1:1288735-1289757	ipo323	myco56	OK	65.695	46.0277	-0.51328	-0.975148	0.44985	0.99889	no
Zt34531	chromosome_1:5548685-5549776	ipo323	myco56	OK	22.732	24.1734	0.088696	0.152308	0.9019	0.99889	no
Zt32211	chromosome_1:83872-84103	ipo323	myco56	NOTEST	6.70323	0	NaN	0	1	1	no
Zt32270	chromosome_1:2561616-2562624	ipo323	myco56	OK	29.9247	20.1686	-0.569222	-0.984534	0.4394	0.99889	no
Zt34756	chromosome_1:5141420-5142547	ipo323	myco56	OK	120.58	109.458	-0.139618	-0.276011	0.8324	0.99889	no
Zt32734	chromosome_1:5233156-5234408	ipo323	myco56	OK	26.002	24.2158	-0.102676	-0.179438	0.8899	0.99889	no
Zt34033	chromosome_1:3310665-3311711	ipo323	myco56	OK	32.4169	28.437	-0.188976	-0.335279	0.79405	0.99889	no
Zt32980	chromosome_1:2041422-2042347	ipo323	myco56	OK	48.3935	41.478	-0.222465	-0.43016	0.75725	0.99889	no
Zt33711	chromosome_1:4758670-4761163	ipo323	myco56	OK	10.1556	9.74486	-0.0595587	-0.0904938	0.93735	0.99889	no
Zt32730	chromosome_1:4778656-4779506	ipo323	myco56	OK	65.5471	38.1399	-0.78123	-1.50436	0.2593	0.99889	no
Zt32102	chromosome_1:358190-358973	ipo323	myco56	OK	13.1404	17.0905	0.379186	0.632649	0.63955	0.99889	no
Zt35196	chromosome_1:3361398-3362148	ipo323	myco56	OK	114.472	66.6945	-0.779351	-1.60203	0.2446	0.99889	no
Zt32234	chromosome_1:1088684-1089603	ipo323	myco56	OK	17.3837	18.3295	0.0764288	0.129302	0.92105	0.99889	no
Zt35104	chromosome_1:4305042-4305888	ipo323	myco56	OK	6.46831	7.49444	0.212431	0.315528	0.8135	0.99889	no
Zt35346	chromosome_1:3737361-3738165	ipo323	myco56	OK	4.61215	3.20712	-0.52416	-0.697165	0.6163	0.99889	no
Zt33370	chromosome_1:2563313-2564061	ipo323	myco56	OK	21.873	117.048	2.41987	4.74993	0.00215	0.111909	no
Zt33741	chromosome_1:3445187-3446032	ipo323	myco56	OK	52.5302	38.4921	-0.448584	-0.858477	0.52375	0.99889	no
Zt31579	chromosome_1:5010054-5010962	ipo323	myco56	OK	99.0367	77.8405	-0.347441	-0.692531	0.60215	0.99889	no
Zt35093	chromosome_1:384316-385260	ipo323	myco56	OK	27.724	28.6376	0.0467768	0.0839336	0.9519	0.99889	no
Zt33027	chromosome_1:3830404-3831196	ipo323	myco56	OK	10.0984	18.9045	0.904608	1.5391	0.28675	0.99889	no
Zt34317	chromosome_1:5270196-5270976	ipo323	myco56	OK	21.8539	16.9407	-0.367396	-0.635854	0.63185	0.99889	no
Zt35147	chromosome_1:1820134-1820857	ipo323	myco56	OK	55.9303	49.5053	-0.176045	-0.349328	0.80435	0.99889	no
Zt35031	chromosome_1:4249823-4250795	ipo323	myco56	OK	50.6282	50.5617	-0.00189529	-0.00371188	0.99535	0.99889	no
Zt32167	chromosome_1:781995-782812	ipo323	myco56	OK	5.59303	10.0599	0.846916	1.29017	0.3678	0.99889	no
Zt32378	chromosome_1:2129957-2130704	ipo323	myco56	OK	70.7914	62.7599	-0.173731	-0.351238	0.7966	0.99889	no
Zt35120	chromosome_1:4614605-4615457	ipo323	myco56	OK	59.3618	31.8284	-0.899219	-1.73402	0.2075	0.99889	no
Zt32322	chromosome_1:5292578-5294444	ipo323	myco56	OK	55.5041	56.5702	0.0274484	0.0472739	0.96555	0.99889	no
Zt34084	chromosome_1:4072713-4073400	ipo323	myco56	OK	171.332	160.122	-0.0976228	-0.213265	0.88345	0.99889	no
Zt33813	chromosome_1:5269313-5270038	ipo323	myco56	OK	15.3439	20.3478	0.407204	0.720517	0.618	0.99889	no
Zt34239	chromosome_1:5169427-5170042	ipo323	myco56	OK	36.5884	32.7371	-0.160459	-0.316088	0.82905	0.99889	no
Zt33930	chromosome_1:1002992-1003664	ipo323	myco56	OK	4.42684	12.3268	1.47745	2.24831	0.1383	0.99889	no
